Date,Excellent %,Good %,Only fair %,Poor %,No Opinion %
2024 Mar 1-20,4,26,30,39,1
2024 Feb 1-20,4,22,32,41,*
2024 Jan 2-22,5,22,29,45,*
2023 Dec 1-20,3,19,33,45,*
2023 Nov 1-21,2,17,31,50,--
2023 Oct 2-23,2,17,33,47,*
2023 Sep 1-23,3,17,32,48,--
2023 Aug 1-23,2,21,35,42,*
2023 Jul 3-27,2,20,35,42,*
2023 Jun 1-22,1,18,37,44,*
2023 May 1-24,1,16,36,47,*
2023 Apr 3-25,1,15,37,47,*
2023 Mar 1-23,1,15,40,43,*
2023 Feb 1-23,1,15,38,45,*
2023 Jan 2-22,2,15,38,45,*
2022 Nov 9-Dec 2,1,14,40,46,*
2022 Oct 3-20,2,12,37,49,*
2022 Sep 1-16,2,15,34,48,*
2022 Aug 1-23,1,15,36,47,1
2022 Jul 5-26,1,13,34,52,*
2022 Jun 1-20,*,11,34,54,*
2022 May 2-22,1,13,39,46,*
2022 Apr 1-19,2,18,38,42,--
2022 Mar 1-18,2,20,35,44,*
2022 Feb 1-17,3,18,37,42,*
2022 Jan 3-16,2,21,40,37,*
2021 Dec 1-16,1,17,40,42,1
2021 Nov 1-16,2,20,42,36,*
2021 Oct 1-19,2,23,42,33,*
2021 Sep 1-17,2,23,39,35,1
2021 Aug 2-17,2,26,42,29,*
2021 Jul 6-21,2,26,45,27,*
2021 Jun 1-18,3,27,43,26,1
2021 May 3-18,3,24,42,30,1
2021 Apr 1-21,2,26,46,26,*
2021 Mar 1-15,2,21,46,31,--
2021 Feb 3-18,2,18,49,31,*
2021 Jan 4-15,4,24,39,33,--
2020 Dec 1-17,7,26,38,29,*
2020 Nov 5-19,9,27,40,23,1
2020 Sep 30-Oct 15,7,26,37,29,*
2020 Aug 31-Sep 13,5,26,35,34,*
2020 Jul 30-Aug 12,4,24,41,30,1
2020 Jul 1-23,4,25,38,33,*
2020 May 28-Jun 4,4,19,41,36,1
2020 May 1-13,4,18,35,42,*
2020 Apr 14-28,4,19,33,43,1
2020 Apr 1-14,7,20,34,39,1
2020 Mar 2-13,15,39,35,11,*
2020 Feb 3-16,24,39,28,9,*
2020 Jan 2-15,22,40,30,8,*
2019 Dec 2-15,18,37,33,12,*
2019 Nov 1-14,16,39,35,9,*
2019 Oct 1-13,15,37,34,13,1
2019 Sep 3-15,15,35,36,14,*
2019 Aug 1-14,14,40,33,13,*
2019 Jul 1-12,16,37,34,12,1
2019 Jun 3-16,13,40,33,14,1
2019 May 1-12,11,40,37,12,*
2019 Apr 1-9,14,36,36,14,*
2019 Mar 1-10,13,40,35,12,*
2019 Feb 1-10,14,43,31,12,1
2019 Jan 2-10,12,37,36,14,1
2018 Dec 3-12,10,40,37,12,1
2018 Nov 1-11,17,38,31,14,*
2018 Oct 15-28,14,41,32,12,1
2018 Oct 1-10,14,40,33,12,*
2018 Sep 4-12,14,37,35,13,*
2018 Aug 1-12,12,42,33,13,1
2018 Jul 1-11,11,44,33,12,1
2018 Jun 1-13,10,41,36,13,*
2018 May 1-10,4,41,38,15,1
2018 Apr 2-11,7,36,43,13,1
2018 Mar 1-8,8,41,39,12,*
2018 Feb 1-10,9,41,36,14,*
2018 Jan 2-7,8,37,39,16,*
2017 Dec 4-11,7,36,38,18,1
2017 Apr 5-9,3,37,46,14,1
2016 Apr 6-10,2,23,46,28,*
2015 Apr 9-12,1,27,46,25,1
2014 Apr 6-9,1,18,49,32,*
2013 Apr 4-14,1,19,47,33,1
2012 Apr 9-12,1,11,47,40,*
2011 Apr 7-11,1,8,40,50,1
2010 May 24-25,1,9,40,50,*
2010 Apr 8-11,*,9,45,46,*
2009 Apr 6-9,1,4,34,61,*
2009 Feb 9-12 ^,1,6,23,69,*
2008 Dec 4-7,*,4,28,67,*
2008 Nov 13-16,*,6,29,65,*
2008 Oct 10-12,1,4,22,73,*
2008 Oct 3-5,2,7,29,62,1
2008 Sep 8-11,*,11,40,47,1
2008 Aug 21-23,2,14,35,49,*
2008 Aug 7-10,1,12,43,43,1
2008 Jul 10-13,1,9,42,47,1
2008 Jun 9-12,2,7,42,49,1
2008 May 8-11,1,9,41,49,*
2008 Apr 6-9,1,12,40,46,*
2008 Mar 6-9,2,15,44,39,*
2008 Feb 11-14,1,13,46,39,1
2008 Jan 30-Feb 2,2,17,39,42,1
2008 Jan 4-6,3,29,43,25,1
2007 Dec 6-9,3,25,45,27,1
2007 Nov 11-14,2,25,44,28,1
2007 Oct 4-7,5,28,44,23,*
2007 Sep 14-16,3,28,46,23,*
2007 Aug 13-16,4,29,46,20,1
2007 Jul 12-15,8,32,40,20,*
2007 Jul 6-8,8,28,42,21,*
2007 Jun 11-14,5,29,43,23,*
2007 May 10-13,4,28,45,23,*
2007 Apr 2-5,8,35,40,18,*
2007 Mar 11-14,6,32,47,15,*
2007 Feb 1-4,8,35,41,16,*
2007 Jan 15-18,11,41,33,15,*
2006 Dec 11-14,8,34,41,16,1
2006 Nov 9-12,8,32,43,16,--
2006 Oct 20-22,9,35,33,22,1
2006 Oct 9-12,7,34,42,16,1
2006 Sep 7-10,5,29,44,22,1
2006 Aug 7-10,5,31,43,21,*
2006 Jul 6-9,5,33,42,19,1
2006 Jun 1-4,6,30,46,18,*
2006 May 8-11,4,25,45,25,*
2006 Apr 10-13,5,33,40,23,--
2006 Mar 13-16,4,30,45,20,1
2006 Feb 6-9,4,34,42,20,*
2006 Jan 20-22,5,34,41,18,1
2006 Jan 9-12,8,35,37,18,1
2005 Dec 19-22,6,33,39,22,*
2005 Dec 5-8,6,31,43,20,*
2005 Nov 17-20,5,32,39,24,*
2005 Nov 7-10,3,29,47,21,*
2005 Oct 24-26,3,26,45,25,1
2005 Oct 13-16,3,25,46,26,*
2005 Sep 26-28,3,28,41,27,1
2005 Sep 12-15,3,28,44,25,*
2005 Aug 22-25,4,30,42,24,*
2005 Aug 8-11,4,32,46,18,*
2005 Jul 25-28,4,28,44,23,1
2005 Jul 7-10,3,33,45,18,1
2005 Jun 16-19,4,33,40,23,*
2005 Jun 6-8,4,31,45,20,*
2005 May 23-26,3,37,41,19,*
2005 May 2-5,1,30,44,25,*
2005 Apr 18-21,2,29,44,24,1
2005 Apr 4-7,3,29,49,18,1
2005 Mar 21-23,2,30,43,24,1
2005 Mar 7-10,3,32,48,16,1
2005 Feb 21-24,5,33,42,20,*
2005 Feb 7-10,3,37,44,16,*
2005 Jan 3-5,3,38,42,17,*
2004 Dec 5-8,2,35,43,19,1
2004 Nov 7-10,3,33,44,20,*
2004 Oct 11-14,2,32,44,22,*
2004 Oct 9-10,4,31,40,24,1
2004 Sep 13-15,3,36,39,22,*
2004 Aug 9-11,3,36,40,21,*
2004 Jul 30-Aug 1,6,32,39,23,*
2004 Jul 8-11,5,32,41,21,1
2004 Jun 3-6,3,32,44,21,*
2004 May 2-4,2,27,43,27,1
2004 Apr 5-8,3,31,44,22,*
2004 Mar 8-11,2,30,44,24,*
2004 Feb 9-12,2,31,46,21,--
2004 Jan 12-15,3,34,42,21,--
2004 Jan 2-5,3,40,41,16,*
2003 Dec 11-14,3,34,44,19,*
2003 Nov 3-5,2,28,49,21,*
2003 Oct 24-26,2,24,44,30,*
2003 Oct 6-8,2,20,50,27,1
2003 Sep 8-10,1,20,49,30,*
2003 Aug 4-6,1,24,52,23,*
2003 Jul 7-9,1,23,50,26,*
2003 Jun 12-15,1,25,49,25,*
2003 May 19-21,1,20,47,31,1
2003 May 5-7,1,21,50,28,*
2003 Apr 7-9,2,25,51,22,*
2003 Mar 29-30,1,25,51,23,*
2003 Mar 24-25,3,30,47,20,--
2003 Mar 3-5,1,21,46,32,*
2003 Feb 17-19,1,17,48,34,*
2003 Feb 3-6,2,20,53,25,*
2003 Jan 20-22,1,19,49,31,*
2003 Jan 13-16,2,20,50,28,*
2002 Dec 19-22,1,23,48,28,*
2002 Dec 5-8,2,23,51,24,*
2002 Nov 22-24,2,30,45,23,*
2002 Oct 31-Nov 3,2,26,45,26,1
2002 Oct 3-6,2,24,46,27,1
2002 Sep 23-26,2,25,47,25,1
2002 Sep 5-8,2,22,53,23,*
2002 Aug 19-21,1,23,47,28,1
2002 Aug 5-8,1,27,52,19,1
2002 Jul 29-31,2,27,48,22,1
2002 Jul 22-24,2,25,48,24,1
2002 Jul 9-11,2,26,51,20,1
2002 Jun 17-19,2,35,43,19,1
2002 Jun 3-6,3,33,49,14,1
2002 May 20-22,3,38,46,12,1
2002 May 6-9,2,33,51,14,*
2002 Apr 22-24,2,37,46,14,1
2002 Apr 8-11,2,36,51,11,*
2002 Mar 4-7,3,31,51,14,1
2002 Feb 4-6,2,26,55,16,1
2002 Jan 7-9,2,27,54,16,1
2001 Dec 6-9,2,29,53,16,*
2001 Nov 8-11,2,29,50,19,*
2001 Oct 11-14,2,36,48,13,1
2001 Sep 14-15,3,43,44,9,1
2001 Sep 7-10,2,30,49,19,*
2001 Aug 16-19,2,34,49,14,1
2001 Jul 19-22,3,38,47,11,1
2001 Jun 11-17,3,39,45,12,1
2001 May 10-14,3,37,45,15,*
2001 Apr 6-8,4,41,41,14,*
2001 Mar 5-7,3,43,43,10,1
2001 Feb 1-4,7,44,36,13,*
2001 Jan 10-14,11,56,27,6,*
2000 Dec 2-4,12,51,28,8,1
2000 Nov 13-15,19,53,21,7,*
2000 Oct 6-9,14,57,24,4,1
2000 Aug 18-19,25,49,21,4,1
2000 Jul 25-26,26,48,21,4,1
2000 May 18-21,17,49,24,9,1
2000 Apr 3-9,14,46,30,9,1
2000 Jan 7-10,19,52,23,5,1
1999 Oct 21-24,16,49,27,8,*
1999 Sep 10-14,20,47,24,8,1
1999 Aug 24-26,14,50,28,7,1
1999 Jun 4-5,18,56,21,5,*
1999 Jan 15-17,14,55,27,4,*
1998 Dec 4-6,13,52,27,8,*
1998 Oct 29-Nov 1,13,53,27,6,1
1998 Sep 1,11,54,25,9,1
1998 Mar 20-22,20,46,27,7,*
1997 Dec 18-21,7,41,38,12,2
1997 Nov 6-9,10,48,33,9,*
1997 Aug 22-25 ^,8,41,38,13,*
1997 May 6-7,7,39,38,15,1
1997 Jan 31-Feb 2,4,38,43,15,*
1996 Oct 26-29,5,42,39,13,1
1996 Aug 30-Sep 1 #,3,34,46,16,1
1996 Jul 18-21,5,38,43,14,*
1996 May 9-12,3,27,50,19,1
1996 Apr 9-10,1,26,52,20,1
1996 Mar 15-17,2,31,48,18,1
1996 Jan 5-7,1,28,47,23,1
1995 Nov 6-8,2,28,47,22,1
1995 May 11-14,2,27,50,20,1
1994 Dec 16-18,2,25,52,21,*
1994 Nov 2-6,2,28,49,20,1
1994 Oct 22-25,1,25,52,21,1
1994 Jul 15-17,1,26,52,21,*
1994 Apr 22-24,1,23,49,26,1
1994 Jan 15-17,*,22,54,24,*
1993 Dec 4-6,1,20,57,21,1
1993 Nov 2-4,1,16,50,33,*
1993 Aug 8-10,*,10,49,40,1
1993 Jun 29-30,1,14,52,32,1
1993 Feb 12-14,*,14,46,39,1
1992 Dec 18-20,2,16,34,47,1
1992 Dec 4-6,1,14,41,43,1
1992 Oct 23-25,*,11,45,43,1
1992 Sep 11-15,1,10,37,51,1
1992 Aug 31-Sep 2 #,1,9,37,53,*
1992 Jun 12-14 #,1,11,47,41,*
1992 Apr 9-12 #,1,11,40,48,*
1992 Jan 3-6,*,12,46,41,1